# output from https://query.wikidata.org/#SELECT%20%3Fhuman%20%3FhumanLabel%0AWHERE%0A%7B%0A%20%20%3Fhuman%20wdt%3AP21%20wd%3AQ6581097%20.%0A%20%20SERVICE%20wikibase%3Alabel%20%7B%20bd%3AserviceParam%20wikibase%3Alanguage%20%22en%22%20%7D%0A%7D%20LIMIT%202500%0A
human	humanLabel
http://www.wikidata.org/entity/Q1257	Boutros Boutros-Ghali
http://www.wikidata.org/entity/Q1259	Javier Pérez de Cuéllar
http://www.wikidata.org/entity/Q1260	Kurt Waldheim
http://www.wikidata.org/entity/Q1264	U Thant
http://www.wikidata.org/entity/Q1267	Dag Hammarskjöld
http://www.wikidata.org/entity/Q1268	Frédéric Chopin
http://www.wikidata.org/entity/Q1271	Trygve Lie
http://www.wikidata.org/entity/Q1275	Gladwyn Jebb
http://www.wikidata.org/entity/Q1276	Leonard Cohen
http://www.wikidata.org/entity/Q1290	Blaise Pascal
http://www.wikidata.org/entity/Q1294	Ramón Barros Luco
http://www.wikidata.org/entity/Q1298	Pedro Montt
http://www.wikidata.org/entity/Q1300	Germán Riesco
http://www.wikidata.org/entity/Q1316	Saddam Hussein
http://www.wikidata.org/entity/Q1317	Osama bin Laden
http://www.wikidata.org/entity/Q1318	Aníbal Zañartu
http://www.wikidata.org/entity/Q1319	Federico Errázuriz Echaurren
http://www.wikidata.org/entity/Q1320	Jorge Montt
http://www.wikidata.org/entity/Q1322	José Manuel Balmaceda
http://www.wikidata.org/entity/Q1323	Domingo Santa María
http://www.wikidata.org/entity/Q1324	Aníbal Pinto
http://www.wikidata.org/entity/Q1325	Friedrich Hayek
http://www.wikidata.org/entity/Q1326	Federico Errázuriz Zañartu
http://www.wikidata.org/entity/Q1327	José Joaquín Pérez
http://www.wikidata.org/entity/Q1328	Manuel Montt
http://www.wikidata.org/entity/Q1329	Manuel Bulnes
http://www.wikidata.org/entity/Q1330	José Joaquín Prieto
http://www.wikidata.org/entity/Q1331	Manuel Blanco Encalada
http://www.wikidata.org/entity/Q1332	Ramón Freire
http://www.wikidata.org/entity/Q1333	Francisco Antonio Pinto
