# Output from https://query.wikidata.org/#SELECT%20%3Ftype%20%3FtypeLabel%0AWHERE%0A%7B%0A%09%3Ftype%20wdt%3AP31%20wd%3AQ11707%20.%0A%09SERVICE%20wikibase%3Alabel%20%7B%20bd%3AserviceParam%20wikibase%3Alanguage%20%22nl%22%20.%20%7D%0A%7D
type	typeLabel
http://www.wikidata.org/entity/Q2560211	Comme chez Soi
http://www.wikidata.org/entity/Q2564243	La Cascade
http://www.wikidata.org/entity/Q2566872	White Castle Building No. 8
http://www.wikidata.org/entity/Q2569087	Oudt Leyden
http://www.wikidata.org/entity/Q2581585	Le Chalet de la Forêt
http://www.wikidata.org/entity/Q2583171	Wedderborg
http://www.wikidata.org/entity/Q2584324	The House of Lords
http://www.wikidata.org/entity/Q2592340	Cashel Palace Hotel
http://www.wikidata.org/entity/Q2597420	Den Gouden Harynck
http://www.wikidata.org/entity/Q2598240	West Lake Restaurant
http://www.wikidata.org/entity/Q2604229	Jean Georges
http://www.wikidata.org/entity/Q2610911	Toine Hermsen
http://www.wikidata.org/entity/Q2611788	Katz's Delicatessen
http://www.wikidata.org/entity/Q2615946	Het Koetshuis
http://www.wikidata.org/entity/Q2617701	Mzoli's
http://www.wikidata.org/entity/Q2622619	Restaurant ML
http://www.wikidata.org/entity/Q2624837	Deanes
http://www.wikidata.org/entity/Q2624942	De Jonkman
http://www.wikidata.org/entity/Q2629148	Hof van Cleve
http://www.wikidata.org/entity/Q2629885	't Veerhuis
http://www.wikidata.org/entity/Q2661716	Va Doux Vent
http://www.wikidata.org/entity/Q2663524	Bon-bon
http://www.wikidata.org/entity/Q2675934	Mint Restaurant
http://www.wikidata.org/entity/Q2679455	La Paix
http://www.wikidata.org/entity/Q2690074	Soigné
http://www.wikidata.org/entity/Q2704508	The Commons Restaurant
http://www.wikidata.org/entity/Q2724860	Katseveer
http://www.wikidata.org/entity/Q2749941	The Dorchester
http://www.wikidata.org/entity/Q2799843	Auberge de Herborist
http://www.wikidata.org/entity/Q2804895	De Zwethheul
http://www.wikidata.org/entity/Q2832097	Q2832097
http://www.wikidata.org/entity/Q2853432	Antoine's
http://www.wikidata.org/entity/Q2870560	auberge des Templiers
http://www.wikidata.org/entity/Q2870561	Q2870561
http://www.wikidata.org/entity/Q2873116	Aux Trois Mailletz
http://www.wikidata.org/entity/Q2879960	Bains des Pâquis
http://www.wikidata.org/entity/Q2882676	Banchero
http://www.wikidata.org/entity/Q2884322	Ugi's
http://www.wikidata.org/entity/Q2894308	Carnegie Deli
http://www.wikidata.org/entity/Q2894560	Café Anglais
http://www.wikidata.org/entity/Q2895279	Ben's Chili Bowl
http://www.wikidata.org/entity/Q2895806	Les Ambassadeurs
http://www.wikidata.org/entity/Q2896230	Taillevent
http://www.wikidata.org/entity/Q2896854	Le Grand Véfour
http://www.wikidata.org/entity/Q2900985	Fook Lam Moon
http://www.wikidata.org/entity/Q2905872	La Pyramide
http://www.wikidata.org/entity/Q2917901	Carnivore
http://www.wikidata.org/entity/Q2920332	Mugaritz
http://www.wikidata.org/entity/Q2923992	Le Balzar
http://www.wikidata.org/entity/Q2924009	Q2924009
http://www.wikidata.org/entity/Q2932940	Café Bibent
http://www.wikidata.org/entity/Q2932946	Q2932946
http://www.wikidata.org/entity/Q2932951	Q2932951
http://www.wikidata.org/entity/Q2932952	Q2932952
http://www.wikidata.org/entity/Q2932968	Tortoni
http://www.wikidata.org/entity/Q2932969	café Voltaire
http://www.wikidata.org/entity/Q2932976	Q2932976
http://www.wikidata.org/entity/Q2933008	Café de la Paix
http://www.wikidata.org/entity/Q2933012	Café du Monde
http://www.wikidata.org/entity/Q2940758	Casa Marieta
http://www.wikidata.org/entity/Q2941354	Q2941354
http://www.wikidata.org/entity/Q2963161	Q2963161
http://www.wikidata.org/entity/Q2963166	Chez Dominique
http://www.wikidata.org/entity/Q2963171	Chez Léon
http://www.wikidata.org/entity/Q2963174	Q2963174
http://www.wikidata.org/entity/Q2971194	Chevre d'or
http://www.wikidata.org/entity/Q2971278	château de la Juive
http://www.wikidata.org/entity/Q2990341	Schathoes
http://www.wikidata.org/entity/Q2996628	Raveleijn
http://www.wikidata.org/entity/Q3012488	Dalloyau
http://www.wikidata.org/entity/Q3024158	Q3024158
http://www.wikidata.org/entity/Q3038887	Aneth
http://www.wikidata.org/entity/Q3040039	Drouant
http://www.wikidata.org/entity/Q3046171	ESPN Zone
http://www.wikidata.org/entity/Q3068854	Les Impressionnistes
http://www.wikidata.org/entity/Q3077367	Perceel
http://www.wikidata.org/entity/Q3079972	Fouquet's
http://www.wikidata.org/entity/Q3095561	Union Station
http://www.wikidata.org/entity/Q3097512	Q3097512
http://www.wikidata.org/entity/Q3105346	Gibeau Orange Julep
http://www.wikidata.org/entity/Q3125913	Lastage
http://www.wikidata.org/entity/Q3149534	Imperial Palace, Annecy
http://www.wikidata.org/entity/Q3189304	Julien's Restorator
http://www.wikidata.org/entity/Q3194347	Q3194347
http://www.wikidata.org/entity/Q3202564	L'Aubergade
http://www.wikidata.org/entity/Q3203303	L'Espérance Marc Meneau
http://www.wikidata.org/entity/Q3204568	L'Opéra Restaurant
http://www.wikidata.org/entity/Q3206433	La Banquise
http://www.wikidata.org/entity/Q3206686	La Binerie Mont-Royal
http://www.wikidata.org/entity/Q3207356	Théâtre de la Chouc'routerie
http://www.wikidata.org/entity/Q3208058	La Côte d'Or
http://www.wikidata.org/entity/Q3211300	La Palette
http://www.wikidata.org/entity/Q3218349	Lasserre
http://www.wikidata.org/entity/Q3220627	Le Bretagne
http://www.wikidata.org/entity/Q3220970	Le Chabichou
http://www.wikidata.org/entity/Q3223818	Le Jules Verne
http://www.wikidata.org/entity/Q3224147	Le Madrid
http://www.wikidata.org/entity/Q3224809	Moulin de Mougins
http://www.wikidata.org/entity/Q3225491	Le Petit Nice
http://www.wikidata.org/entity/Q3226046	Le Pré Catelan
http://www.wikidata.org/entity/Q3226500	Le Rocher de Cancale
http://www.wikidata.org/entity/Q3226863	Le Saint-Germain-des-Pres
http://www.wikidata.org/entity/Q3227073	Le Select
http://www.wikidata.org/entity/Q3228350	Q3228350
http://www.wikidata.org/entity/Q3237508	Lhardy
http://www.wikidata.org/entity/Q3254784	Peacock Alley
http://www.wikidata.org/entity/Q3278765	Govinius House
http://www.wikidata.org/entity/Q3279461	Restaurant Yoann Conte
http://www.wikidata.org/entity/Q3279981	Maison dorée
http://www.wikidata.org/entity/Q3284227	Dunderry Lodge
http://www.wikidata.org/entity/Q3303613	McCormick Tribune Plaza & Ice Rink
http://www.wikidata.org/entity/Q3309185	Philippe's
http://www.wikidata.org/entity/Q3316364	Miss Albany Diner
http://www.wikidata.org/entity/Q3321549	Kaatje bij de Sluis
http://www.wikidata.org/entity/Q3359494	P. J. Clarke's
http://www.wikidata.org/entity/Q3373028	Pavillon Henri IV
http://www.wikidata.org/entity/Q3394227	Polidor
http://www.wikidata.org/entity/Q3410532	Pudding Shop
http://www.wikidata.org/entity/Q3413243	Château de la Gaude
http://www.wikidata.org/entity/Q3413299	Belden Place
http://www.wikidata.org/entity/Q3417784	Rainbow Room
http://www.wikidata.org/entity/Q3427906	Brasserie Julien
http://www.wikidata.org/entity/Q3427908	Q3427908
http://www.wikidata.org/entity/Q3427911	Ledoyen
http://www.wikidata.org/entity/Q3462152	De Bokkedoorns
http://www.wikidata.org/entity/Q3504614	Superdawg
http://www.wikidata.org/entity/Q3516289	Q3516289
http://www.wikidata.org/entity/Q3516290	Q3516290
http://www.wikidata.org/entity/Q3520148	Brown Derby
http://www.wikidata.org/entity/Q3522324	The Printworks
http://www.wikidata.org/entity/Q3523370	The Wieners Circle
http://www.wikidata.org/entity/Q3538292	Casa del Popolo
http://www.wikidata.org/entity/Q3544750	Spårakoff
http://www.wikidata.org/entity/Q3576682	Q3576682
http://www.wikidata.org/entity/Q3576752	Restaurant Chez la Mère Catherine
http://www.wikidata.org/entity/Q3607478	Osteria del Cappello
http://www.wikidata.org/entity/Q3664378	Cencio la Parolaccia
http://www.wikidata.org/entity/Q3673823	Q3673823
http://www.wikidata.org/entity/Q3677566	Circolo Teatro del Sale
http://www.wikidata.org/entity/Q3750868	Can Fabes
http://www.wikidata.org/entity/Q3772930	Golden Chick
http://www.wikidata.org/entity/Q3792852	Q3792852
http://www.wikidata.org/entity/Q3826087	Sant Pau
http://www.wikidata.org/entity/Q3886915	Q3886915
http://www.wikidata.org/entity/Q3894156	Cheval Blanc
http://www.wikidata.org/entity/Q3924088	Prospect of Whitby
http://www.wikidata.org/entity/Q3981585	Taverna del Gufo
http://www.wikidata.org/entity/Q3981587	Q3981587
http://www.wikidata.org/entity/Q3981588	Q3981588
http://www.wikidata.org/entity/Q4022491	Tavern on the Green
http://www.wikidata.org/entity/Q4035249	Bob Bob Ricard
http://www.wikidata.org/entity/Q4045710	Q4045710
http://www.wikidata.org/entity/Q4051345	The Varsity
http://www.wikidata.org/entity/Q4053628	Q4053628
http://www.wikidata.org/entity/Q4067123	Q4067123
http://www.wikidata.org/entity/Q4096819	Stray Dog Café
http://www.wikidata.org/entity/Q4181365	Au Café
http://www.wikidata.org/entity/Q4355577	Ballylickey House
http://www.wikidata.org/entity/Q4358835	The Cube
http://www.wikidata.org/entity/Q4414294	Kraantje Lek
http://www.wikidata.org/entity/Q4440546	Ballymaloe House
http://www.wikidata.org/entity/Q4540372	&samhoud places
http://www.wikidata.org/entity/Q4540589	't Fornuis
http://www.wikidata.org/entity/Q4540609	't Misverstant
http://www.wikidata.org/entity/Q4549055	1321 Downtown Taproom Bistro
http://www.wikidata.org/entity/Q4550101	14th Street Theatre
http://www.wikidata.org/entity/Q4574053	Esplanada in Łódź
http://www.wikidata.org/entity/Q4574949	Oaxen Skärgårdskrog
http://www.wikidata.org/entity/Q4595345	Erriseask House
http://www.wikidata.org/entity/Q4631029	21st Amendment Brewery
http://www.wikidata.org/entity/Q4641134	5 North St
http://www.wikidata.org/entity/Q4642366	68–86 Bar and Restaurant
http://www.wikidata.org/entity/Q4643194	72 Market Street Oyster Bar and Grill
http://www.wikidata.org/entity/Q4645519	8½ Otto e Mezzo
http://www.wikidata.org/entity/Q4678154	Ad Hoc
http://www.wikidata.org/entity/Q4700586	Akelare
http://www.wikidata.org/entity/Q4702125	Al's Breakfast
http://www.wikidata.org/entity/Q4702126	Al's Diner
http://www.wikidata.org/entity/Q4704326	Al Mac's Diner-Restaurant
http://www.wikidata.org/entity/Q4705497	Aladdin Theater
http://www.wikidata.org/entity/Q4705649	Alain Ducasse at The Dorchester
http://www.wikidata.org/entity/Q4709372	Albany Pump Station
http://www.wikidata.org/entity/Q4716591	Alex
http://www.wikidata.org/entity/Q4724434	Alhambra Dinner Theatre
http://www.wikidata.org/entity/Q4726759	Aline IOOF Lodge No. 263
http://www.wikidata.org/entity/Q4726773	Alinea
http://www.wikidata.org/entity/Q4727705	Alkimia
http://www.wikidata.org/entity/Q4731410	Allegro
http://www.wikidata.org/entity/Q4731449	Allen's
http://www.wikidata.org/entity/Q4732309	Alliance Gastronomique Néerlandaise
http://www.wikidata.org/entity/Q4740324	Amarone
http://www.wikidata.org/entity/Q4740363	Amaryllis
http://www.wikidata.org/entity/Q4741216	Amber
http://www.wikidata.org/entity/Q4744563	American National Bank Building
http://www.wikidata.org/entity/Q4746230	Amigo
http://www.wikidata.org/entity/Q4752660	Anchor Bar
http://www.wikidata.org/entity/Q4752683	Anchor Inn
http://www.wikidata.org/entity/Q4752905	Ancient Priors
http://www.wikidata.org/entity/Q4761087	Andy Nelson's Southern Pit Barbecue
http://www.wikidata.org/entity/Q4762817	Angelo's Civita Farnese
http://www.wikidata.org/entity/Q4763025	Angels & Kings
http://www.wikidata.org/entity/Q4764437	Aniar
http://www.wikidata.org/entity/Q4764750	Animal
http://www.wikidata.org/entity/Q4767352	Anna Miller's
http://www.wikidata.org/entity/Q4780736	Apoteket Hjorten
http://www.wikidata.org/entity/Q4782679	Aquagrill
http://www.wikidata.org/entity/Q4785184	Arcadian Court
http://www.wikidata.org/entity/Q4791049	Ariston Cafe
http://www.wikidata.org/entity/Q4793897	Armstrong's Barn
http://www.wikidata.org/entity/Q4798120	Arthur Bryant's
http://www.wikidata.org/entity/Q4802737	Arzak
http://www.wikidata.org/entity/Q4803285	Asador Etxebarri
http://www.wikidata.org/entity/Q4806832	Asiate
http://www.wikidata.org/entity/Q4808666	Assembly House
http://www.wikidata.org/entity/Q4813549	Athenæum
http://www.wikidata.org/entity/Q4816444	Atlantic Grill
http://www.wikidata.org/entity/Q4818940	Au Crocodile
http://www.wikidata.org/entity/Q4819028	Auberge la Provence
http://www.wikidata.org/entity/Q4819030	Aubergine
http://www.wikidata.org/entity/Q4827663	Avant-Garde van Groeninge
http://www.wikidata.org/entity/Q4841476	Bagatelle
http://www.wikidata.org/entity/Q4842897	Bahrs
http://www.wikidata.org/entity/Q4850937	Balinese Room
http://www.wikidata.org/entity/Q4851311	Ballachulish House
http://www.wikidata.org/entity/Q4852657	Balthazar
http://www.wikidata.org/entity/Q4854211	Band Box Diner
http://www.wikidata.org/entity/Q4857936	Bar Italia
http://www.wikidata.org/entity/Q4859644	Barbetta
http://www.wikidata.org/entity/Q4866119	La Stazione
http://www.wikidata.org/entity/Q4867432	Basiliek
http://www.wikidata.org/entity/Q4867763	Basketmakers' Kiosk
http://www.wikidata.org/entity/Q4868825	Bates Turkey Farm
http://www.wikidata.org/entity/Q4873561	Baumé Restaurant
http://www.wikidata.org/entity/Q4876679	Beardslee Castle
http://www.wikidata.org/entity/Q4877504	Beaulieu
http://www.wikidata.org/entity/Q4878797	Becky's Diner
http://www.wikidata.org/entity/Q4879391	Q4879391
http://www.wikidata.org/entity/Q4880207	Beetle and Wedge
