type	typeLabel
http://www.wikidata.org/entity/Q18964	Q18964
http://www.wikidata.org/entity/Q18967	Van the Man
http://www.wikidata.org/entity/Q19069	Syv mænd sejrer
http://www.wikidata.org/entity/Q19089	GoldenEye
http://www.wikidata.org/entity/Q19268	Tæv for dollars
http://www.wikidata.org/entity/Q19276	Q19276
http://www.wikidata.org/entity/Q19303	Q19303
http://www.wikidata.org/entity/Q19311	Q19311
http://www.wikidata.org/entity/Q19320	Den lille djævel
http://www.wikidata.org/entity/Q19322	Q19322
http://www.wikidata.org/entity/Q19352	Q19352
http://www.wikidata.org/entity/Q19355	Livet er smukt
http://www.wikidata.org/entity/Q19356	Q19356
http://www.wikidata.org/entity/Q19358	Tigeren og sneen
http://www.wikidata.org/entity/Q19393	Whale Rider
http://www.wikidata.org/entity/Q19405	The Ninth Gate
http://www.wikidata.org/entity/Q20456	Danser med ulve
http://www.wikidata.org/entity/Q20475	Yojimbo - livvagten
http://www.wikidata.org/entity/Q22432	Signs
http://www.wikidata.org/entity/Q23089	Q23089
http://www.wikidata.org/entity/Q23395	Fear and Loathing in Las Vegas
http://www.wikidata.org/entity/Q23771	Q23771
http://www.wikidata.org/entity/Q23871	Q23871
http://www.wikidata.org/entity/Q23892	Afrika skriger
http://www.wikidata.org/entity/Q23896	Abbott og Costello i Fremmedlegionen
http://www.wikidata.org/entity/Q24075	Godzilla
http://www.wikidata.org/entity/Q24151	Q24151
http://www.wikidata.org/entity/Q24154	Q24154
http://www.wikidata.org/entity/Q24196	Q24196
http://www.wikidata.org/entity/Q24258	Q24258
http://www.wikidata.org/entity/Q24340	Q24340
http://www.wikidata.org/entity/Q24515	Q24515
http://www.wikidata.org/entity/Q24585	14. Juli
http://www.wikidata.org/entity/Q24618	Q24618
http://www.wikidata.org/entity/Q24732	Q24732
http://www.wikidata.org/entity/Q24815	Citizen Kane
http://www.wikidata.org/entity/Q24910	Lad de små børn
http://www.wikidata.org/entity/Q24911	Den sidste vinter
http://www.wikidata.org/entity/Q24933	Q24933
http://www.wikidata.org/entity/Q24953	Life of Brian
http://www.wikidata.org/entity/Q24980	Monty Python - the Meaning of Life
http://www.wikidata.org/entity/Q25005	Q25005
http://www.wikidata.org/entity/Q25057	Brazil
http://www.wikidata.org/entity/Q25069	Q25069
http://www.wikidata.org/entity/Q25086	Q25086
http://www.wikidata.org/entity/Q25139	American Beauty
http://www.wikidata.org/entity/Q25157	Q25157
http://www.wikidata.org/entity/Q25188	Inception
http://www.wikidata.org/entity/Q25454	Q25454
http://www.wikidata.org/entity/Q25460	Q25460
http://www.wikidata.org/entity/Q25466	Q25466
http://www.wikidata.org/entity/Q25468	Q25468
http://www.wikidata.org/entity/Q25471	Q25471
http://www.wikidata.org/entity/Q25479	Q25479
http://www.wikidata.org/entity/Q25482	Q25482
http://www.wikidata.org/entity/Q25491	Q25491
