# Output from https://query.wikidata.org/#SELECT%20%3Ftype%20%3FtypeLabel%0AWHERE%0A%7B%0A%09%3Ftype%20wdt%3AP31%20wd%3AQ11424%20.%0A%09SERVICE%20wikibase%3Alabel%20%7B%20bd%3AserviceParam%20wikibase%3Alanguage%20%22nl%22%20.%20%7D%0A%7D%20LIMIT%205000
type	typeLabel
http://www.wikidata.org/entity/Q18395	Luci del varietà
http://www.wikidata.org/entity/Q18397	Lo sceicco bianco
http://www.wikidata.org/entity/Q18399	I vitelloni
http://www.wikidata.org/entity/Q18402	La strada
http://www.wikidata.org/entity/Q18403	Il bidone
http://www.wikidata.org/entity/Q18405	Le notti di Cabiria
http://www.wikidata.org/entity/Q18407	La dolce vita
http://www.wikidata.org/entity/Q18411	Giulietta degli spiriti
http://www.wikidata.org/entity/Q18415	Spirits of the Dead
http://www.wikidata.org/entity/Q18416	Satyricon
http://www.wikidata.org/entity/Q18418	Fellini: A Director's Notebook
http://www.wikidata.org/entity/Q18421	I clowns
http://www.wikidata.org/entity/Q18423	Roma
http://www.wikidata.org/entity/Q18428	Amarcord
http://www.wikidata.org/entity/Q18429	Casanova
http://www.wikidata.org/entity/Q18431	Prova d'orchestra
http://www.wikidata.org/entity/Q18433	La città delle donne
http://www.wikidata.org/entity/Q18437	E la nave va
http://www.wikidata.org/entity/Q18439	Ginger e Fred
http://www.wikidata.org/entity/Q18441	Intervista
http://www.wikidata.org/entity/Q18442	La voce della luna
http://www.wikidata.org/entity/Q18444	Lo vedi come sei... lo vedi come sei?
http://www.wikidata.org/entity/Q18964	Birthday Girl
http://www.wikidata.org/entity/Q18967	Van Wilder
http://www.wikidata.org/entity/Q19069	The Magnificent Seven
http://www.wikidata.org/entity/Q19089	GoldenEye
http://www.wikidata.org/entity/Q19268	Paradise Alley
http://www.wikidata.org/entity/Q19276	Tu mi turbi
http://www.wikidata.org/entity/Q19303	Farewell to Enrico Berlinguer
http://www.wikidata.org/entity/Q19311	Nothing Left to Do But Cry
http://www.wikidata.org/entity/Q19320	Il piccolo diavolo
http://www.wikidata.org/entity/Q19322	Johnny Stecchino
http://www.wikidata.org/entity/Q19352	Il mostro
http://www.wikidata.org/entity/Q19355	La vita è bella
http://www.wikidata.org/entity/Q19356	Pinocchio
http://www.wikidata.org/entity/Q19358	La tigre e la neve
http://www.wikidata.org/entity/Q19393	Whale Rider
http://www.wikidata.org/entity/Q19405	The Ninth Gate
http://www.wikidata.org/entity/Q20456	Dances with Wolves
http://www.wikidata.org/entity/Q20475	Yojimbo
http://www.wikidata.org/entity/Q22432	Signs
http://www.wikidata.org/entity/Q23089	Q23089
http://www.wikidata.org/entity/Q23395	Fear and Loathing in Las Vegas
http://www.wikidata.org/entity/Q23771	El astronauta
http://www.wikidata.org/entity/Q23871	The Brest Fortress
http://www.wikidata.org/entity/Q23892	Africa Screams
http://www.wikidata.org/entity/Q23896	Abbott and Costello in the Foreign Legion
http://www.wikidata.org/entity/Q24075	Godzilla
http://www.wikidata.org/entity/Q24151	Alligator II - The Mutation
http://www.wikidata.org/entity/Q24154	Van Diemen's Land
http://www.wikidata.org/entity/Q24196	The Hidden Face
http://www.wikidata.org/entity/Q24258	Visions of Light
http://www.wikidata.org/entity/Q24340	Anna Karamazoff
http://www.wikidata.org/entity/Q24515	Shaolin
http://www.wikidata.org/entity/Q24585	14 Juillet
http://www.wikidata.org/entity/Q24618	Jaded
